,Date,Shares Outstanding,Code
132,1986-10-09,2388787000.0000005,0002.HK
133,1986-10-10,2388787000.0000005,0002.HK
134,1986-10-14,2388787000.0000005,0002.HK
135,1986-10-15,2388787000.0000005,0002.HK
136,1986-10-16,2388787000.0000005,0002.HK
137,1986-10-17,2388787000.0000005,0002.HK
138,1986-10-20,2388787000.0000005,0002.HK
139,1986-10-21,2388787000.0000005,0002.HK
140,1986-10-23,2388787000.0000005,0002.HK
141,1986-10-24,2388787000.0000005,0002.HK
142,1986-10-27,2388787000.0000005,0002.HK
143,1986-10-28,2388787000.0000005,0002.HK
144,1986-10-29,2388787000.0000005,0002.HK
145,1986-10-30,2388787000.0000005,0002.HK
146,1986-10-31,2388787000.0000005,0002.HK
147,1986-11-03,2388787000.0000005,0002.HK
148,1986-11-04,2388787000.0000005,0002.HK
149,1986-11-05,2388787000.0000005,0002.HK
150,1986-11-06,2388787000.0000005,0002.HK
151,1986-11-07,2388787000.0000005,0002.HK
152,1986-11-10,2388787000.0000005,0002.HK
153,1986-11-11,2388787000.0000005,0002.HK
154,1986-11-12,2388787000.0000005,0002.HK
155,1986-11-13,2388787000.0000005,0002.HK
156,1986-11-14,2388787000.0000005,0002.HK
157,1986-11-17,2388787000.0000005,0002.HK
158,1986-11-18,2388787000.0000005,0002.HK
159,1986-11-19,2388787000.0000005,0002.HK
160,1986-11-20,2388787000.0000005,0002.HK
161,1986-11-21,2388787000.0000005,0002.HK
162,1986-11-24,2388787000.0000005,0002.HK
163,1986-11-25,2388787000.0000005,0002.HK
164,1986-11-26,2388787000.0000005,0002.HK
165,1986-11-27,2388787000.0000005,0002.HK
166,1986-11-28,2388787000.0000005,0002.HK
167,1986-12-01,2388787000.0000005,0002.HK
168,1986-12-02,2388787000.0000005,0002.HK
169,1986-12-03,2388787000.0000005,0002.HK
170,1986-12-04,2388787000.0000005,0002.HK
171,1986-12-05,2388787000.0000005,0002.HK
172,1986-12-08,2388787000.0000005,0002.HK
173,1986-12-09,2388787000.0000005,0002.HK
174,1986-12-10,2388787000.0000005,0002.HK
175,1986-12-11,2388787000.0000005,0002.HK
176,1986-12-12,2388787000.0000005,0002.HK
177,1986-12-15,2388787000.0000005,0002.HK
178,1986-12-16,2388787000.0000005,0002.HK
179,1986-12-17,2388787000.0000005,0002.HK
180,1986-12-18,2388787000.0000005,0002.HK
181,1986-12-19,2388787000.0000005,0002.HK
182,1986-12-22,2388787000.0000005,0002.HK
183,1986-12-23,2388787000.0000005,0002.HK
184,1986-12-24,2388787000.0000005,0002.HK
185,1986-12-29,2388787000.0000005,0002.HK
186,1986-12-30,2388787000.0000005,0002.HK
187,1986-12-31,2388787000.0000005,0002.HK
188,1987-01-02,2388787000.0000005,0002.HK
189,1987-01-05,2388787000.0000005,0002.HK
190,1987-01-06,2388787000.0000005,0002.HK
191,1987-01-07,2388787000.0000005,0002.HK
192,1987-01-08,2388787000.0000005,0002.HK
193,1987-01-09,2388787000.0000005,0002.HK
194,1987-01-12,2388787000.0000005,0002.HK
195,1987-01-13,2388787000.0000005,0002.HK
196,1987-01-14,2388787000.0000005,0002.HK
197,1987-01-15,2388787000.0000005,0002.HK
198,1987-01-16,2388787000.0000005,0002.HK
199,1987-01-19,2388787000.0000005,0002.HK
200,1987-01-20,2388787000.0000005,0002.HK
201,1987-01-21,2388787000.0000005,0002.HK
202,1987-01-22,2388787000.0000005,0002.HK
203,1987-01-23,2388787000.0000005,0002.HK
204,1987-01-26,2388787000.0000005,0002.HK
205,1987-01-27,2388787000.0000005,0002.HK
206,1987-01-28,2388787000.0000005,0002.HK
207,1987-02-02,2388787000.0000005,0002.HK
