Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,35.500000,35.799999,35.200001,35.400002,15.342749,1659773
2000-01-05,34.099998,35.400002,33.799999,35.099998,15.212722,2993100
2000-01-06,35.000000,35.200001,34.500000,34.599998,14.996019,3562800
2000-01-07,34.700001,34.900002,34.400002,34.900002,15.126040,2199472
2000-01-10,35.000000,35.400002,35.000000,35.299999,15.299399,1897500
2000-01-11,35.599998,35.599998,35.000000,35.200001,15.256065,1395246
2000-01-12,35.000000,35.200001,34.900002,35.099998,15.212722,1436928
2000-01-13,35.299999,35.299999,34.400002,34.599998,14.996019,1589800
2000-01-14,34.599998,35.000000,34.400002,34.500000,14.952680,2787400
2000-01-17,34.599998,35.000000,34.500000,34.799999,15.082702,856176
2000-01-18,34.599998,34.900002,34.400002,34.400002,14.909334,1181500
2000-01-19,34.200001,34.500000,33.799999,33.900002,14.692635,3398970
2000-01-20,33.900002,34.099998,33.599998,33.799999,14.649291,2492068
2000-01-21,33.299999,33.799999,33.299999,33.500000,14.519265,2750528
2000-01-24,33.799999,33.799999,33.400002,33.400002,14.475925,1702800
2000-01-25,33.299999,33.500000,33.000000,33.200001,14.389236,1670200
2000-01-26,33.299999,33.500000,33.299999,33.299999,14.432584,1262936
2000-01-27,33.299999,33.500000,33.200001,33.400002,14.475925,1510737
2000-01-28,33.400002,33.400002,33.000000,33.000000,14.302560,3392933
2000-01-31,32.900002,32.900002,32.099998,32.500000,14.085852,4502339
2000-02-01,32.700001,32.700001,32.000000,32.099998,13.912492,3412500
2000-02-02,32.500000,33.000000,32.299999,32.700001,14.172537,3775582
2000-02-03,33.000000,33.000000,31.700001,31.799999,13.782465,4947800
2000-02-04,31.799999,31.799999,31.799999,31.799999,13.782465,0
2000-02-07,31.799999,31.799999,31.799999,31.799999,13.782465,0
2000-02-08,31.900000,31.900000,30.600000,30.799999,13.349054,3839600
2000-02-09,31.000000,31.799999,30.500000,31.000000,13.435740,2994982
2000-02-10,30.799999,31.000000,30.500000,30.900000,13.392393,2373175
2000-02-11,31.100000,31.100000,29.900000,30.200001,13.089010,6464300
2000-02-14,30.000000,30.000000,28.850000,28.950001,12.547248,8480536
2000-02-15,29.000000,30.100000,28.799999,29.400000,12.742279,6781178
2000-02-16,29.600000,32.299999,29.600000,32.200001,13.955832,6574694
2000-02-17,32.500000,33.299999,32.200001,33.099998,14.345901,9527869
2000-02-18,34.000000,34.000000,32.599998,33.000000,14.302560,7683950
